time_ms,Omega_ctrl_Hz
0.00000000,4016.84166305
0.00020000,4016.34201503
0.00040000,4015.74894598
0.00060000,4015.06252400
0.00080000,4014.28282110
0.00100000,4013.40991325
0.00120000,4012.44388030
0.00140000,4011.38480607
0.00160000,4010.23277826
0.00180000,4008.98788851
0.00200000,4007.65023235
0.00220000,4006.21990922
0.00240000,4004.69702247
0.00260000,4003.08167933
0.00280000,4001.37399093
0.00300000,3999.57407229
0.00320000,3997.68204230
0.00340000,3995.69802372
0.00360000,3993.62214319
0.00380000,3991.45453122
0.00400000,3989.19532217
0.00420000,3986.84465424
0.00440000,3984.40266950
0.00460000,3981.86951384
0.00480000,3979.24533699
0.00500000,3976.53029251
0.00520000,3973.72453778
0.00540000,3970.82823399
0.00560000,3967.84154614
0.00580000,3964.76464303
0.00600000,3961.59769725
0.00620000,3958.34088517
0.00640000,3954.99438694
0.00660000,3951.55838649
0.00680000,3948.03307150
0.00700000,3944.41863341
0.00720000,3940.71526741
0.00740000,3936.92317240
0.00760000,3933.04255105
0.00780000,3929.07360972
0.00800000,3925.01655850
0.00820000,3920.87161117
0.00840000,3916.63898521
0.00860000,3912.31890179
0.00880000,3907.91158575
0.00900000,3903.41726560
0.00920000,3898.83617350
0.00940000,3894.16854526
0.00960000,3889.41462033
0.00980000,3884.57464178
0.01000000,3879.64885633
0.01020000,3874.63751425
0.01040000,3869.54086945
0.01060000,3864.35917943
0.01080000,3859.09270522
0.01100000,3853.74171147
0.01120000,3848.30646636
0.01140000,3842.78724159
0.01160000,3837.18431243
0.01180000,3831.49795766
0.01200000,3825.72845955
0.01220000,3819.87610389
0.01240000,3813.94117995
0.01260000,3807.92398047
0.01280000,3801.82480164
0.01300000,3795.64394313
0.01320000,3789.38170802
0.01340000,3783.03840283
0.01360000,3776.61433750
0.01380000,3770.10982534
0.01400000,3763.52518307
0.01420000,3756.86073080
0.01440000,3750.11679195
0.01460000,3743.29369335
0.01480000,3736.39176512
0.01500000,3729.41134072
0.01520000,3722.35275692
0.01540000,3715.21635377
0.01560000,3708.00247462
0.01580000,3700.71146607
0.01600000,3693.34367798
0.01620000,3685.89946345
0.01640000,3678.37917880
0.01660000,3670.78318356
0.01680000,3663.11184046
0.01700000,3655.36551541
0.01720000,3647.54457748
0.01740000,3639.64939889
0.01760000,3631.68035500
0.01780000,3623.63782430
0.01800000,3615.52218837
0.01820000,3607.33383188
0.01840000,3599.07314259
0.01860000,3590.74051131
0.01880000,3582.33633188
0.01900000,3573.86100119
0.01920000,3565.31491913
0.01940000,3556.69848858
0.01960000,3548.01211542
0.01980000,3539.25620847
0.02000000,3530.43117950
0.02020000,3521.53744321
0.02040000,3512.57541724
0.02060000,3503.54552208
0.02080000,3494.44818114
0.02100000,3485.28382067
0.02120000,3476.05286976
0.02140000,3466.75576036
0.02160000,3457.39292719
0.02180000,3447.96480780
0.02200000,3438.47184249
0.02220000,3428.91447434
0.02240000,3419.29314914
0.02260000,3409.60831543
0.02280000,3399.86042445
0.02300000,3390.04993012
0.02320000,3380.17728902
0.02340000,3370.24296041
0.02360000,3360.24740615
0.02380000,3350.19109073
0.02400000,3340.07448123
0.02420000,3329.89804731
0.02440000,3319.66226118
0.02460000,3309.36759760
