time_ms,Omega_ctrl_Hz
0.00000000,4600.63573799
0.00040000,4607.52042834
0.00080000,4614.27418487
0.00120000,4620.89682490
0.00160000,4627.38816974
0.00200000,4633.74804472
0.00240000,4639.97627920
0.00280000,4646.07270654
0.00320000,4652.03716413
0.00360000,4657.86949339
0.00400000,4663.56953981
0.00440000,4669.13715287
0.00480000,4674.57218614
0.00520000,4679.87449722
0.00560000,4685.04394780
0.00600000,4690.08040360
0.00640000,4694.98373443
0.00680000,4699.75381417
0.00720000,4704.39052078
0.00760000,4708.89373629
0.00800000,4713.26334684
0.00840000,4717.49924265
0.00880000,4721.60131802
0.00920000,4725.56947138
0.00960000,4729.40360524
0.01000000,4733.10362624
0.01040000,4736.66944510
0.01080000,4740.10097668
0.01120000,4743.39813995
0.01160000,4746.56085800
0.01200000,4749.58905804
0.01240000,4752.48267141
0.01280000,4755.24163358
0.01320000,4757.86588414
0.01360000,4760.35536684
0.01400000,4762.71002954
0.01440000,4764.92982426
0.01480000,4767.01470714
0.01520000,4768.96463849
0.01560000,4770.77958273
0.01600000,4772.45950846
0.01640000,4774.00438840
0.01680000,4775.41419944
0.01720000,4776.68892261
0.01760000,4777.82854310
0.01800000,4778.83305024
0.01840000,4779.70243752
0.01880000,4780.43670258
0.01920000,4781.03584723
0.01960000,4781.49987742
0.02000000,4781.82880326
0.02040000,4782.02263902
0.02080000,4782.08140311
0.02120000,4782.00511811
0.02160000,4781.79381076
0.02200000,4781.44751194
0.02240000,4780.96625669
0.02280000,4780.35008422
0.02320000,4779.59903786
0.02360000,4778.71316512
0.02400000,4777.69251765
0.02440000,4776.53715125
0.02480000,4775.24712587
0.02520000,4773.82250562
0.02560000,4772.26335873
0.02600000,4770.56975759
0.02640000,4768.74177873
0.02680000,4766.77950282
0.02720000,4764.68301467
0.02760000,4762.45240321
0.02800000,4760.08776153
0.02840000,4757.58918683
0.02880000,4754.95678044
0.02920000,4752.19064783
0.02960000,4749.29089857
0.03000000,4746.25764637
0.03040000,4743.09100904
0.03080000,4739.79110851
0.03120000,4736.35807082
0.03160000,4732.79202611
0.03200000,4729.09310863
0.03240000,4725.26145672
0.03280000,4721.29721281
0.03320000,4717.20052344
0.03360000,4712.97153922
0.03400000,4708.61041483
0.03440000,4704.11730904
0.03480000,4699.49238470
0.03520000,4694.73580871
0.03560000,4689.84775203
0.03600000,4684.82838970
0.03640000,4679.67790080
0.03680000,4674.39646843
0.03720000,4668.98427977
0.03760000,4663.44152602
0.03800000,4657.76840239
0.03840000,4651.96510815
0.03880000,4646.03184655
0.03920000,4639.96882488
0.03960000,4633.77625442
0.04000000,4627.45435045
0.04040000,4621.00333224
0.04080000,4614.42342305
0.04120000,4607.71485012
0.04160000,4600.87784465
0.04200000,4593.91264182
0.04240000,4586.81948076
0.04280000,4579.59860454
0.04320000,4572.25026018
0.04360000,4564.77469864
0.04400000,4557.17217479
0.04440000,4549.44294745
0.04480000,4541.58727931
0.04520000,4533.60543700
0.04560000,4525.49769101
0.04600000,4517.26431576
0.04640000,4508.90558949
0.04680000,4500.42179437
0.04720000,4491.81321639
0.04760000,4483.08014539
0.04800000,4474.22287508
0.04840000,4465.24170298
0.04880000,4456.13693044
0.04920000,4446.90886263
0.04960000,4437.55780852
0.05000000,4428.08408087
0.05040000,4418.48799623
0.05080000,4408.76987493
0.05120000,4398.93004106
0.05160000,4388.96882247
0.05200000,4378.88655075
0.05240000,4368.68356122
0.05280000,4358.36019294
0.05320000,4347.91678867
0.05360000,4337.35369487
0.05400000,4326.67126171
