time_ms,Omega_ctrl_Hz
0.00000000,-4035.05439156
0.00040000,-4039.29099984
0.00080000,-4043.56336817
0.00120000,-4047.87135552
0.00160000,-4052.21481820
0.00200000,-4056.59360995
0.00240000,-4061.00758187
0.00280000,-4065.45658248
0.00320000,-4069.94045769
0.00360000,-4074.45905083
0.00400000,-4079.01220263
0.00440000,-4083.59975127
0.00480000,-4088.22153231
0.00520000,-4092.87737878
0.00560000,-4097.56712114
0.00600000,-4102.29058729
0.00640000,-4107.04760257
0.00680000,-4111.83798980
0.00720000,-4116.66156925
0.00760000,-4121.51815866
0.00800000,-4126.40757324
0.00840000,-4131.32962571
0.00880000,-4136.28412626
0.00920000,-4141.27088258
0.00960000,-4146.28969986
0.01000000,-4151.34038083
0.01040000,-4156.42272570
0.01080000,-4161.53653223
0.01120000,-4166.68159573
0.01160000,-4171.85770902
0.01200000,-4177.06466250
0.01240000,-4182.30224411
0.01280000,-4187.57023936
0.01320000,-4192.86843134
0.01360000,-4198.19660073
0.01400000,-4203.55452579
0.01440000,-4208.94198238
0.01480000,-4214.35874399
0.01520000,-4219.80458169
0.01560000,-4225.27926422
0.01600000,-4230.78255793
0.01640000,-4236.31422682
0.01680000,-4241.87403254
0.01720000,-4247.46173442
0.01760000,-4253.07708944
0.01800000,-4258.71985229
0.01840000,-4264.38977532
0.01880000,-4270.08660861
0.01920000,-4275.81009993
0.01960000,-4281.55999479
0.02000000,-4287.33603642
0.02040000,-4293.13796581
0.02080000,-4298.96552167
0.02120000,-4304.81844049
0.02160000,-4310.69645655
0.02200000,-4316.59930189
0.02240000,-4322.52670634
0.02280000,-4328.47839756
0.02320000,-4334.45410101
0.02360000,-4340.45353998
0.02400000,-4346.47643559
0.02440000,-4352.52250683
0.02480000,-4358.59147052
0.02520000,-4364.68304137
0.02560000,-4370.79693198
0.02600000,-4376.93285284
0.02640000,-4383.09051233
0.02680000,-4389.26961677
0.02720000,-4395.46987040
0.02760000,-4401.69097539
0.02800000,-4407.93263189
0.02840000,-4414.19453800
0.02880000,-4420.47638980
0.02920000,-4426.77788135
0.02960000,-4433.09870475
0.03000000,-4439.43855006
0.03040000,-4445.79710543
0.03080000,-4452.17405699
0.03120000,-4458.56908897
0.03160000,-4464.98188364
0.03200000,-4471.41212136
0.03240000,-4477.85948059
0.03280000,-4484.32363787
0.03320000,-4490.80426789
0.03360000,-4497.30104346
0.03400000,-4503.81363551
0.03440000,-4510.34171318
0.03480000,-4516.88494373
0.03520000,-4523.44299265
0.03560000,-4530.01552360
0.03600000,-4536.60219846
0.03640000,-4543.20267735
0.03680000,-4549.81661863
0.03720000,-4556.44367890
0.03760000,-4563.08351303
0.03800000,-4569.73577420
0.03840000,-4576.40011387
0.03880000,-4583.07618180
0.03920000,-4589.76362611
0.03960000,-4596.46209323
0.04000000,-4603.17122796
0.04040000,-4609.89067349
0.04080000,-4616.62007135
0.04120000,-4623.35906151
0.04160000,-4630.10728235
0.04200000,-4636.86437067
0.04240000,-4643.62996171
0.04280000,-4650.40368919
0.04320000,-4657.18518529
0.04360000,-4663.97408070
0.04400000,-4670.77000460
0.04440000,-4677.57258469
0.04480000,-4684.38144723
0.04520000,-4691.19621700
0.04560000,-4698.01651738
0.04600000,-4704.84197032
0.04640000,-4711.67219637
0.04680000,-4718.50681470
0.04720000,-4725.34544312
0.04760000,-4732.18769806
0.04800000,-4739.03319465
0.04840000,-4745.88154667
0.04880000,-4752.73236663
0.04920000,-4759.58526572
0.04960000,-4766.43985387
0.05000000,-4773.29573977
0.05040000,-4780.15253085
0.05080000,-4787.00983333
0.05120000,-4793.86725222
0.05160000,-4800.72439136
0.05200000,-4807.58085338
0.05240000,-4814.43623979
0.05280000,-4821.29015095
0.05320000,-4828.14218610
0.05360000,-4834.99194336
0.05400000,-4841.83901979
0.05440000,-4848.68301135
0.05480000,-4855.52351298
0.05520000,-4862.36011854
0.05560000,-4869.19242092
0.05600000,-4876.02001196
0.05640000,-4882.84248255
0.05680000,-4889.65942260
0.05720000,-4896.47042106
0.05760000,-4903.27506597
0.05800000,-4910.07294443
0.05840000,-4916.86364265
0.05880000,-4923.64674598
0.05920000,-4930.42183887
0.05960000,-4937.18850495
0.06000000,-4943.94632702
0.06040000,-4950.69488706
0.06080000,-4957.43376627
0.06120000,-4964.16254507
0.06160000,-4970.88080312
0.06200000,-4977.58811935
0.06240000,-4984.28407195
0.06280000,-4990.96823843
0.06320000,-4997.64019560
0.06360000,-5004.29951962
0.06400000,-5010.94578598
0.06440000,-5017.57856955
0.06480000,-5024.19744459
0.06520000,-5030.80198476
0.06560000,-5037.39176314
0.06600000,-5043.96635227
0.06640000,-5050.52532413
0.06680000,-5057.06825019
0.06720000,-5063.59470142
